"""course code""","""course name""","""prerequisites""","""restrictions"""
"""HTM*3780""","""Managing Food in Canada""","""FOOD*2010 OR HTM*1700 OR HTM*2700""","""{FARE*3320}"""
"""HTM*4050""","""Wine and Oenology""","""9.00 credits""","""{}"""
"""HTM*4060""","""Advanced Lodging Management""","""HTM*3060""","""{}"""
"""HTM*4080""","""Experiential Learning and Leadership in the Service Industry""","""14.00 credits and a minimum of 700 hours of verified work experience in the hospitality AND sport and tourism industries.""","""{HTM*3150}"""
"""HTM*4090""","""Hospitality Development, Design and Sustainability""","""14.00 credits AND (HTM*1000 OR HTM*1160 OR HTM*2020)""","""{REAL*3890}"""
"""HTM*4110""","""Advanced Food Service Operations""","""HTM*3090""","""{}"""
"""HTM*4130""","""Current Management Topics""","""()""","""{}"""
"""HTM*4140""","""Current Management Topics""","""()""","""{}"""
"""HTM*4150""","""Current Management Topics""","""()""","""{}"""
"""HTM*4170""","""International Tourism""","""14.00 credits AND HTM*3160""","""{}"""
"""HTM*4190""","""Hospitality and Tourism Industry Consultation""","""14.00 credits AND ACCT*2230 AND HTM*3080""","""{}"""
"""HTM*4250""","""Hospitality Revenue Management""","""FARE*3310 OR HTM*3120""","""{}"""
"""HTM*4500""","""Special Study in Hospitality and Tourism""","""()""","""{}"""
"""HK*2270""","""Principles of Human Biomechanics""","""4.00 credits AND BIOL*1090 AND PHYS*1080""","""{}"""
"""HK*2810""","""Human Physiology I - Concepts and Principles""","""BIOC*2580 AND BIOL*1080""","""{}"""
"""HK*3100""","""Neuromuscular Physiology""","""BIOM*3200 OR HK*3810 OR ZOO*3600""","""{}"""
"""HK*3401""","""Human Anatomy: Dissection""","""()""","""{}"""
"""HK*3402""","""Human Anatomy: Dissection""","""HK*3401""","""{}"""
"""HK*3501""","""Human Anatomy: Prosection""","""()""","""{}"""
"""HK*3502""","""Human Anatomy""","""HK*3501""","""{}"""
"""HK*3600""","""Applied Human Kinetics I""","""HK*2270""","""{}"""
"""HK*3810""","""Human Physiology II - Integrated Systems""","""HK*2810""","""{}"""
"""HK*4070""","""Clinical Biomechanics""","""ENGG*2660 OR HK*2270 AND HK*3600""","""{}"""
"""HK*4230""","""Advanced Study in Human Health and Nutritional Sciences""","""12.00 credits""","""{}"""
"""HK*4240""","""Occupational Biomechanics and Ergonomics""","""ENGG*1210 OR HK*3600""","""{}"""
"""HK*4340""","""Genomics: Exercise and Disease""","""NUTR*3360""","""{}"""
"""HK*4360""","""Research in Human Health and Nutritional Sciences""","""12.00 credits""","""{}"""
"""HK*4371""","""Research in Human Health and Nutritional Sciences I""","""12.00 credits""","""{}"""
"""HK*4372""","""Research in Human Health and Nutritional Sciences II""","""HK*4371""","""{}"""
"""HK*4441""","""Advanced Study in Human Anatomy""","""HK*3402 AND (HK*3810 OR HK*3940)""","""{}"""
"""HK*4442""","""Advanced Study in Human Anatomy""","""HK*4441""","""{}"""
"""HK*4460""","""Regulation of Human Metabolism""","""(HK*3810 OR HK*3940) AND NUTR*4210""","""{}"""
"""HK*4510""","""Teaching, Learning and Knowledge Transfer""","""10.00 credits AND BIOL*1080""","""{}"""
"""HK*4511""","""Teaching, Learning & Knowledge Transfer I""","""10.00 credits AND BIOL*1080""","""{}"""
"""HK*4512""","""Teaching, Learning & Knowledge Transfer II.""","""HK*4511""","""{}"""
"""HK*4550""","""Human Cardio-respiratory Physiology""","""HK*3810 OR HK*3940""","""{}"""
"""HK*4600""","""Applied Human Kinetics II""","""HK*3600""","""{}"""
"""HK*4610""","""Health and Injury Biomechanics""","""ENGG*3150 OR HK*2270""","""{}"""
"""HROB*2010""","""Foundations of Leadership""","""()""","""{UNIV*2000}"""
"""HROB*2090""","""Individuals and Groups in Organizations""","""()""","""{HROB*2100,HROB*4000,PSYC*3080}"""
"""HROB*2200""","""Labour Relations""","""2.00 credits""","""{ECON*2200}"""
"""HROB*2290""","""Human Resources Management""","""BUS*2090 OR BUS*2220 OR HROB*2090""","""{BUS*3000,HROB*2100,HROB*3000,PSYC*3070}"""
"""HROB*3010""","""Compensation Systems""","""BUS*3000 OR HROB*2100 OR HROB*2290 OR HROB*3000 OR PSYC*3070""","""{}"""
"""HROB*3030""","""Occupational Health and Safety""","""9.00 credits AND (BUS*3000 OR HROB*2100 OR HROB*2290 OR HROB*3000 OR PSYC*3070)""","""{}"""
"""HROB*3070""","""Recruitment and Selection""","""BUS*3000 OR HROB*2100 OR HROB*2290 OR HROB*3000 OR PSYC*3070""","""{}"""
"""HROB*3090""","""Training and Development""","""BUS*3000 OR HROB*2100 OR HROB*2290 OR HROB*3000 OR PSYC*3070""","""{}"""
"""HROB*3100""","""Developing Management and Leadership Competencies""","""9.00 credits AND HROB*2010 AND (HROB*2090 OR HROB*2100)""","""{}"""
"""HROB*4010""","""Leadership Certificate Capstone""","""HROB*2010 AND (PHIL*2120 OR PHIL*2600 OR POLS*3440 OR (2 of BUS*3000 OR EDRD*3140 OR EDRD*3160 OR EDRD*4120 OR HROB*2090 OR HROB*2290 OR HROB*3000 OR MGMT*2150 OR PHIL*2100 OR POLS*2250 plus 120 hours of leadership experience.))""","""{}"""
"""HROB*4030""","""Advanced Topics In Leadership and Organizational Management""","""12.50 credits AND (BUS*3000 OR HROB*2100 OR HROB*2290 OR HROB*3000 OR PSYC*3070)""","""{}"""
"""HROB*4060""","""Human Resource Planning""","""15.00 credits AND (BUS*3000 OR HROB*2100 OR HROB*2290 OR HROB*3000 OR PSYC*3070)""","""{}"""
"""HUMN*1030""","""What Makes a Literary Classic?""","""()""","""{}"""
"""HUMN*1040""","""University Learning Skills""","""()""","""{}"""
"""HUMN*1300""","""Introduction to Arts Management""","""()""","""{}"""
"""HUMN*2020""","""Crime and Criminals in Italian Cinema""","""2.00 credits""","""{}"""
"""HUMN*3000""","""Narratives of Migration""","""7.50 credits""","""{}"""
"""HUMN*3020""","""Myth and Fairy Tales in Germany""","""5.00 credits""","""{}"""
"""HUMN*3180""","""Community Engagement Project""","""7.50 credits""","""{}"""
"""HUMN*3190""","""Experiential Learning""","""7.50 credits""","""{}"""
"""HUMN*3300""","""Latin American Studies in the Humanities""","""Admission to the Latin America semester""","""{}"""
"""HUMN*3400""","""Renaissance Lovers and Fools""","""5.0 credits""","""{}"""
"""HUMN*3470""","""Holocaust & WWII in German Lit. & Film""","""5.00 credits""","""{}"""
"""HUMN*3600""","""International Field Study""","""()""","""{}"""
"""HUMN*3620""","""International Field Study""","""()""","""{}"""
"""HUMN*3800""","""Italian Heritage and Digital Application""","""10.00 credits""","""{}"""
"""HUMN*4190""","""Experiential Learning""","""10.00 credits""","""{}"""
"""IES*1010""","""Introduction to Indigenous Environmental Science and Practice""","""()""","""{}"""
"""IES*1020""","""Indigenous Knowledge for Environmental Science and Practice""","""IES*1010""","""{}"""
"""IES*2010""","""Land-Based Teachings for Environmental Science and Practice""","""IES*1020""","""{}"""
"""IES*3020""","""Right Relations: Reconciliation, Decolonialization, & the Environment""","""ANTH*2660 OR HIST*2090""","""{}"""
"""IES*4000""","""Indigenous Environmental Science: Methodologies in Practice""","""IES*2010 AND 12.50 credits""","""{}"""
"""IES*4010""","""Indigenous Environmental Science Project""","""IES*4000""","""{}"""
"""IES*4020""","""Indigenous Environmental Science Reflective Capstone""","""IES*4000""","""{}"""
"""INDG*1000""","""Indigenous-Settler Relations""","""()""","""{}"""
"""INDG*1100""","""Indigenous Language and Culture""","""()""","""{}"""
"""INDG*4000""","""Capstone: Indigenous Env Gov""","""GEOG*3210 AND INDG*1000 AND POLS*3340 AND SOC*2280""","""{}"""
"""IBIO*4100""","""Interpreting Biodiversity II""","""IBIO*3100""","""{}"""
"""IBIO*4500""","""Research in Integrative Biology I""","""12.00 credits""","""{}"""
"""IBIO*4510""","""Research in Integrative Biology II""","""IBIO*4500""","""{}"""
"""IBIO*3100""","""Interpreting Biodiversity I""","""12.00 credits""","""{}"""
"""IBIO*4521""","""Thesis in Integrative Biology""","""12.00 credits""","""{}"""
"""IBIO*4522""","""Thesis in Integrative Biology""","""IBIO*4521""","""{}"""
"""IBIO*4600""","""Integrative Marine and Freshwater Research""","""BIOL*3450 AND (STAT*2040 OR STAT*2230) AND (ZOO*3210 OR ZOO*3610)""","""{}"""
"""IAEF*3500""","""Experiential Education""","""5.00 credits""","""{}"""
"""IPS*1500""","""Integrated Mathematics and Physics I""","""4U Physics OR PHYS*1020 OR PHYS*1300""","""{MATH*1080,MATH*1200,PHYS*1000,PHYS*1080}"""
"""IPS*1510""","""Integrated Mathematics and Physics II""","""IPS*1500""","""{MATH*1090,MATH*1210,MATH*2080,PHYS*1010,PHYS*1070,PHYS*1130}"""
"""IPS*3000""","""Science Communication""","""2.00 credits in PHYS at the 2000 level OR higher""","""{PHYS*4300}"""
"""ISS*3400""","""International Field Study""","""()""","""{}"""
"""ISS*3420""","""Women Social and Political Theorists""","""SOAN*2112 OR POLS*2000""","""{}"""
"""ISS*3500""","""International Field Study""","""()""","""{}"""
"""UNIV*1250""","""Experiential Learning Opportunity I: Peer Helper""","""()""","""{}"""
"""UNIV*1260""","""Experiential Learning Opportunity II: Peer Helper""","""UNIV*1250""","""{}"""
"""UNIV*2010""","""Anti-Discrimination and Anti-Oppression""","""()""","""{}"""
"""UNIV*2020""","""Pandemics: Culture, Science, and Society""","""2.00 credits""","""{}"""
"""UNIV*1200""","""First Year Seminar""","""()""","""{}"""
"""UNIV*2100""","""Career Ready: Develop Your Future""","""4.00 credits""","""{UNIV*3140}"""
"""UNIV*2200""","""Towards Sustainability""","""4.50 credits""","""{}"""
"""UNIV*2250""","""Experiential Learning Opportunity III: Peer Helper""","""UNIV*1250 AND UNIV*1260""","""{}"""
"""UNIV*2260""","""Experiential Learning Opportunity IV: Peer Helper""","""UNIV*2250""","""{}"""
"""UNIV*2800""","""Independent Research""","""4.00 credits completed; minimum 60% cumulative average""","""{}"""
"""UNIV*3000""","""Civic Engagement & Service Learning""","""9.00 credits""","""{}"""
"""UNIV*3140""","""Flexible Internship in Agri-Food""","""9.00 credits""","""{UNIV*2100,ENVS*3330}"""
"""UNIV*3800""","""Independent Research""","""4.00 credits completed; minimum 60% cumulative average""","""{}"""
"""UNIV*4200""","""Ideas Congress""","""13.50 credits""","""{}"""
"""UNIV*4800""","""Independent Research""","""4.00 credits completed; minimum 60% cumulative average""","""{}"""
"""IDEV*1000""","""Understanding Development and Global Inequalities""","""()""","""{}"""
"""IDEV*2000""","""Decolonizing Development""","""2.00 credits""","""{}"""
"""IDEV*2100""","""Research in International Development""","""IDEV*1000""","""{}"""
"""IDEV*2200""","""Policy, Economy and Society""","""GEOG*1220 OR IDEV*1000""","""{}"""
"""IDEV*2300""","""Theoretical Perspectives on Development""","""IDEV*2200 OR ECON*1050 AND ECON*1100""","""{}"""
"""IDEV*2400""","""Development, Social Justice and Human Rights""","""IDEV*1000 OR IDEV*2200 OR JLS*1000""","""{}"""
"""IDEV*3000""","""Poverty and Inequality""","""7.50 credits AND 1.00 credit in IDEV courses at the 2000 level""","""{}"""
"""IDEV*3100""","""Achieving Sustainable Development""","""7.50 credits AND (1.00 credit in IDEV courses at the 2000 level OR ONEH*2000)""","""{}"""
"""IDEV*3200""","""Individual Work/Study in International Development""","""10.00 credits""","""{}"""
"""IDEV*3300""","""Engaging in Development Practice""","""7.50 credits AND 1.00 credit in IDEV courses at the 2000 level""","""{}"""
"""IDEV*3400""","""Managing and Evaluating Change in Development""","""7.50 credits AND (1.00 credits in IDEV courses at the 2000 level OR ONEH*2000)""","""{}"""
"""IDEV*3500""","""Field Course in Development Studies""","""7.50 credits""","""{}"""
"""IDEV*4000""","""Development in Action""","""14.00 credits AND IDEV*2400 AND IDEV*3000 AND IDEV*3100 AND IDEV*3300""","""{}"""
"""IDEV*4100""","""Thesis in International Development Studies I""","""14.00 credits AND IDEV*3000 AND IDEV*3100""","""{}"""
"""IDEV*4150""","""Thesis in International Development Studies II""","""IDEV*4100""","""{}"""
"""IDEV*4190""","""Regional Context""","""10.00 credits AND IDEV*2010 OR IDEV*2500""","""{}"""
"""IDEV*4200""","""Advanced Work/Study in International Development""","""IDEV*4190""","""{}"""
"""IDEV*4600""","""Advocating and Effecting Change in Development Policy and Practice""","""14.00 credits AND (4 of ANTH*3770 OR FRHD*3090 OR GEOG*3020 OR IDEV*2200 OR IDEV*2400 OR IDEV*3000 OR IDEV*3100 OR IDEV*3300 OR IDEV*3400 OR ONEH*3000 OR POLS*3670)""","""{}"""
"""ITAL*1000""","""International Field Study""","""()""","""{}"""
"""ITAL*1060""","""Introductory Italian I""","""()""","""{}"""
"""ITAL*1070""","""Introductory Italian II""","""ITAL*1060""","""{}"""
"""ITAL*2090""","""Intermediate Italian""","""ITAL*1070""","""{}"""
"""ITAL*3060""","""Advanced Italian""","""ITAL*2090""","""{}"""
"""ITAL*3400""","""Renaissance Lovers and Fools""","""ITAL*3060""","""{HUMN*3400}"""
"""ITAL*3700""","""Experiential Learning and Language""","""10.00 credits AND 1.50 credits in Italian.""","""{}"""
"""ITAL*3800""","""Italian Heritage & Digital Applications""","""10.00 credits AND 1.50 credits in ITAL""","""{HUMN*3800}"""
"""ITAL*4900""","""Research Project in Italian Studies""","""ITAL*3060 AND ITAL*3400""","""{}"""
"""JLS*1000""","""Introduction to Justice & Law""","""()""","""{}"""
"""JLS*4000""","""Justice and Legal Studies Capstone""","""14.00 credits AND including POLS*3130 AND POLS*3350""","""{}"""
"""JLS*4800""","""JLS Honours Thesis I""","""14.00 credits AND including POLS*3130 AND POLS*3350""","""{}"""
"""JLS*4900""","""JLS Honours Thesis II""","""JLS*4800""","""{}"""
"""LARC*1950""","""History of Cultural Form""","""()""","""{}"""
"""LARC*2020""","""Foundational Design Studio""","""LARC*1100""","""{}"""
"""LARC*2100""","""Landscape and Site Analysis""","""LARC*2020""","""{}"""
"""LARC*2230""","""Planting Design""","""LARC*1100""","""{}"""
"""LARC*2240""","""Plants in the Landscape""","""LARC*2230""","""{}"""
"""LARC*2410""","""Site Engineering""","""LARC*2020 AND LARC*2420""","""{}"""
"""LARC*2420""","""Materials and Techniques""","""LARC*1100""","""{}"""
"""LARC*1100""","""Introduction to Design and Communication Studio""","""()""","""{}"""
"""LARC*2820""","""Urban and Regional Planning""","""()""","""{}"""
"""LARC*3040""","""Site Design Studio""","""LARC*2020""","""{}"""
"""LARC*3050""","""Urban Design Studio""","""LARC*3040""","""{}"""
"""LARC*3060""","""Landscape Rehabilitation Design Studio""","""LARC*3050""","""{}"""
"""LARC*3070""","""Urban and Community Design Studio""","""LARC*3060""","""{}"""
"""LARC*3320""","""Principles of Landscape Ecology""","""LARC*2100 AND LARC*2240""","""{}"""
"""LARC*3430""","""Introduction to Landscape Construction""","""LARC*2410""","""{}"""
"""LARC*3440""","""Landscape Construction and Documentation""","""LARC*3430""","""{}"""
"""LARC*3500""","""Independent Study""","""LARC*3040""","""{}"""
"""LARC*4090""","""Seminar""","""LARC*3070""","""{}"""
"""LARC*4510""","""Honours Thesis""","""LARC*3060""","""{}"""
"""LARC*4610""","""Professional Practice""","""LARC*3050""","""{}"""
"""LARC*4620""","""Landscape Architecture Internship""","""LARC*3060 AND LARC*3440 AND LARC*4610""","""{}"""
"""LARC*4710""","""Capstone Design Studio""","""LARC*3070 AND LARC*4510""","""{}"""
"""LARC*4730""","""Special Study in Landscape Architecture""","""LARC*3040""","""{}"""
"""LARC*4740""","""Case Studies""","""LARC*3040""","""{}"""
"""LAT*4100""","""Directed Readings in Latin Literature""","""CLAS*3060 OR CLAS*3120 OR CLAS*3300""","""{}"""
"""LAT*4150""","""Research Paper: Latin""","""CLAS*3060 OR CLAS*3120""","""{}"""
"""LING*1000""","""Introduction to Linguistics""","""()""","""{}"""
"""LING*2400""","""Phonetics""","""LING*1000""","""{}"""
"""LING*3010""","""Topics in Sociolinguistics""","""LING*1000""","""{}"""
"""LING*3020""","""Linguistics and Technology""","""LING*1000""","""{}"""
"""LAT*1100""","""Preliminary Latin I""","""()""","""{}"""
"""LAT*1110""","""Preliminary Latin II""","""LAT*1100 OR Grade 12 Latin""","""{}"""
"""LAT*2000""","""Latin Literature""","""Grade 12 Latin OR LAT*1110""","""{}"""
"""MGMT*1000""","""Introduction to Business""","""()""","""{CME*1000,MGMT*2150}"""
"""MGMT*1100""","""Business Career Preparation""","""4.00 credits""","""{COOP*1100}"""
"""MGMT*1200""","""Principles of Management""","""MGMT*1000""","""{}"""
"""MGMT*2150""","""Introduction to Canadian Business Management""","""()""","""{}"""
"""MGMT*2260""","""Introduction to International Business""","""MGMT*1000 OR MGMT*2150""","""{}"""
"""MGMT*2500""","""Fundamentals of Entrepreneurship""","""MGMT*1000 OR MGMT*2150""","""{}"""
"""MGMT*3020""","""Corporate Social Responsibility""","""9.00 credits""","""{}"""
"""MGMT*3030""","""Managerial Communications and Team Leadership""","""12.50 credits.""","""{}"""
"""MGMT*3140""","""Business Analytics""","""9.00 credits AND (MATH*1030 OR MATH*1080 OR MATH*1200 (1 of ECON*2740 OR PSYC*1010 OR STAT*2040 OR STAT*2060))""","""{}"""
"""MGMT*3200""","""Negotiation and Conflict Management""","""HROB*2290 AND MGMT*1200""","""{}"""
"""MGMT*3300""","""Project Management""","""4.00 credits.""","""{}"""
"""MGMT*3320""","""Financial Management""","""ACCT*2230 OR HTM*3070""","""{}"""
"""MGMT*3400""","""Current Topics in Management""","""9.00 credits AND (MGMT*1000 OR MGMT*2150)""","""{BUS*4250,HTM*4200}"""
"""MGMT*3500""","""Design Thinking""","""MGMT*2500""","""{}"""
"""MGMT*4000""","""Strategic Management""","""MGMT*3320 AND [(( ECON*2560 OR FIN*2000) OR ECON*3460 OR ECON*3560] OR (1 of FARE*3310 OR HTM*3120 OR REAL*3890))""","""{BUS*4250,HTM*4200}"""
"""MGMT*4020""","""Interdisciplinary Food Product Development I""","""14.00 credits AND minimum 70% cumulative average""","""{FOOD*4260}"""
"""MGMT*4030""","""Interdisciplinary Food Product Development II""","""MGMT*4020 AND minimum 70% cumulative average""","""{FOOD*4270}"""
"""MGMT*4040""","""Advanced Topics in Management""","""12.00 credits AND MGMT*1200""","""{}"""
"""MGMT*4050""","""Business Consulting""","""(MCS*1000 OR MGMT*1000 OR MGMT*2150 OR 10.00 credits OR minimum 70% cumulative average)""","""{}"""
"""MGMT*4060""","""Business Consulting""","""(MCS*1000 OR MGMT*1000 OR MGMT*2150 OR 10.00 credits OR minimum 70% cumulative average)""","""{}"""
"""MGMT*4100""","""Management Decision Making""","""MGMT*3140 AND MGMT*3200""","""{}"""
"""MGMT*4140""","""Advanced Business Analytics""","""ECON*3740 AND MGMT*3140 AND (CIS*1300 OR CIS*1500)""","""{}"""
"""MGMT*4200""","""Management Capstone""","""HROB*3100 AND MGMT*3200""","""{}"""
"""MGMT*4260""","""International Business""","""14.50 credits AND MGMT*2260""","""{}"""
"""MGMT*4300""","""Advanced Project Management""","""HROB*2010 AND HROB*3100 AND MGMT*3300""","""{}"""
"""MGMT*4350""","""Business Case Competition Preparation""","""9.50 credits,""","""{}"""
"""MGMT*4500""","""Advanced Entrepreneurship""","""15.00 credits AND list of required Entrepreneurship Minor courses.""","""{}"""
"""MGMT*4991""","""Management Thesis""","""14.00 credits""","""{}"""
"""MGMT*4992""","""Management Thesis""","""14.00 credits AND MGMT*4991""","""{}"""
"""MCS*1000""","""Introductory Marketing""","""()""","""{FARE*4370,HTM*3080}"""
"""MCS*2000""","""Business Communication""","""4.00 credits""","""{}"""
"""MCS*2020""","""Information Management""","""4.00 credits""","""{}"""
"""MCS*2100""","""Personal Financial Management""","""5.00 credits""","""{}"""
"""MCS*2600""","""Fundamentals of Consumer Behaviour""","""MCS*1000 AND (BUS*2090 OR HROB*2090 OR HROB*2100 OR PSYC*1000 OR PSYC*1200. Although not required OR it is recommended that students take PSYC*1000 prior to MCS*2600.)""","""{}"""
"""MCS*3000""","""Advanced Marketing""","""10.00 credits AND MCS*1000""","""{}"""
"""MCS*3010""","""Quality Management""","""10.00 credits AND ( ECON*2740 OR PSYC*1010 OR STAT*2040 OR STAT*2060 OR STAT*2080)""","""{}"""
"""MCS*3030""","""Research Methods""","""ECON*2740 OR PSYC*1010 OR STAT*2060""","""{}"""
"""MCS*3040""","""Business and Consumer Law""","""4.00 credits""","""{}"""
"""MCS*3050""","""Digital Marketing""","""10.00 credits AND MCS*1000 AND MCS*2020""","""{}"""
"""MCS*3500""","""Marketing Analytics""","""10.00 credits AND ECON*1050 AND (MATH*1000 OR MATH*1030) AND MCS*2600 AND (ECON*2740 OR PSYC*1010 OR STAT*2060)""","""{}"""
"""MCS*3620""","""Marketing Communications""","""10.00 credits AND MCS*1000 AND MCS*2600""","""{}"""
"""MCS*4010""","""Consumer Information Processes""","""15.00 Credits including MCS*2600 AND MCS*3030""","""{MCS*3600}"""
"""MCS*4020""","""Research in Consumer Studies""","""15.00 credits AND MCS*3030""","""{}"""
"""MCS*4040""","""Management in Product Development""","""10.00 credits AND MCS*1000 AND MCS*2600""","""{}"""
"""MCS*4060""","""Retail Management""","""14.00 credits""","""{}"""
"""MCS*4100""","""Entrepreneurship""","""15.00 credits AND MCS*3500""","""{}"""
"""MCS*4300""","""Marketing and Society""","""15.00 credits AND MCS*2600""","""{}"""
"""MCS*4370""","""Marketing Strategy""","""15.00 credits AND MCS*3030 AND MCS*3500""","""{}"""
"""MCS*4400""","""Pricing Management""","""10.00 credits AND (ECON*3740 OR MCS*3030)""","""{MCS*3100}"""
"""MCS*4600""","""International Marketing""","""10.00 credits AND MCS*3030""","""{}"""
"""MCS*4880""","""Sales and Negotiation""","""10.00 credits.""","""{}"""
"""MCS*4910""","""Topics in Consumer Studies""","""15.00 credits AND MCS*2600""","""{}"""
"""MCS*4920""","""Topics in Consumer Studies""","""15.00 credits AND MCS*2600""","""{}"""
"""MCS*4950""","""Consumer Studies Practicum""","""15.00 credits AND MCS*3030 AND MCS*3500 AND MCS*3620""","""{}"""
"""MATH*1030""","""Business Mathematics""","""4U Advanced Functions""","""{MATH*1080,MATH*1200}"""
"""MATH*1080""","""Elements of Calculus I""","""(4U Advanced Functions OR 4U Advanced Functions and Calculus OR equivalent)""","""{IPS*1500,MATH*1200}"""
"""MATH*1090""","""Elements of Calculus II""","""IPS*1500 OR MATH*1080 OR MATH*1200""","""{IPS*1510,MATH*1210,MATH*2080}"""
"""MATH*1160""","""Linear Algebra I""","""4U Calculus and Vectors OR 4U Advanced Functions""","""{ENGG*1500}"""
"""MATH*1200""","""Calculus I""","""(4U Calculus and Vectors OR 4U Advanced Functions and Calculus OR Grade 12 Calculus)""","""{IPS*1500,MATH*1080}"""
"""MATH*1210""","""Calculus II""","""MATH*1080 OR MATH*1200""","""{IPS*1510,MATH*1090,MATH*2080}"""
"""MATH*2000""","""Proofs, Sets, and Numbers""","""IPS*1500 OR MATH*1080 OR MATH*1160 OR MATH*1200""","""{}"""
"""MATH*2130""","""Numerical Methods""","""(CIS*1300 OR CIS*1500 OR ENGG*1410 OR (1 of IPS*1510 OR MATH*1090 OR MATH*1210 OR MATH*2080))""","""{}"""
"""MATH*2200""","""Advanced Calculus I""","""IPS*1510 OR MATH*1090 OR MATH*1210 OR MATH*2080""","""{}"""
"""MATH*2210""","""Advanced Calculus II""","""MATH*2200""","""{}"""
"""MATH*2270""","""Applied Differential Equations""","""(ENGG*1500 OR MATH*1160) AND (IPS*1510 OR MATH*1090 OR MATH*1210 OR MATH*2080)""","""{}"""
"""MATH*3100""","""Differential Equations II""","""MATH*2270 AND (ENGG*1500 OR MATH*1160)""","""{}"""
"""MATH*3130""","""Abstract Algebra""","""MATH*1160 AND MATH*2000""","""{}"""
"""MATH*3160""","""Linear Algebra II""","""MATH*1160 AND 1.00 credits in MATH OR STAT at the 2000 level OR above""","""{}"""
"""MATH*3200""","""Real Analysis""","""MATH*2000 AND (MATH*1160 OR MATH*2160)""","""{}"""
"""MATH*3240""","""Operations Research""","""MATH*1160 AND 0.50 credits in statistics""","""{}"""
"""MATH*3260""","""Complex Analysis""","""MATH*2200""","""{}"""
"""MATH*3510""","""Biomathematics""","""MATH*2270 AND (ENGG*1500 OR MATH*1160)""","""{}"""
"""MATH*4050""","""Topics in Mathematics I""","""MATH*3200""","""{}"""
"""MATH*4060""","""Topics in Mathematics II""","""MATH*3200""","""{}"""
"""MATH*4150""","""Topics in Mathematics III""","""MATH*3200""","""{}"""
"""MATH*4200""","""Advanced Analysis""","""MATH*3200""","""{}"""
"""MATH*4240""","""Advanced Topics in Modeling and Optimization""","""0.50 credits in Mathematics at the 3000 level.""","""{}"""
"""MATH*4270""","""Partial Differential Equations""","""MATH*3100""","""{}"""
"""MATH*4310""","""Combinatorics and Graph Theory""","""10.00 credits AND MATH*2000""","""{}"""
"""MATH*4440""","""Case Studies in Mathematics and Statistics""","""At least 3.0 mathematics and/or statistics credits at the 3000 level OR above.""","""{}"""
"""MATH*4600""","""Advanced Research Project in Mathematics""","""1.00 credits in Mathematics at the 3000 level OR above.""","""{}"""
"""MICR*2420""","""Introduction to Microbiology""","""4.00 credits AND (BIOL*1070 OR BIOL*1080 OR BIOL*1090 OR CHEM*1040)""","""{}"""
"""MICR*2430""","""Methods in Microbial Culture and Physiology""","""MICR*2420""","""{}"""
"""MICR*3090""","""Mycology""","""BOT*2100 OR MICR*2430""","""{}"""
"""MICR*3220""","""Plant Microbiology""","""BIOL*1070 AND BIOL*1090""","""{}"""
"""MICR*3230""","""Immunology""","""BIOL*1090 AND BIOC*2580""","""{}"""
"""MICR*3240""","""Microbial Physiology and Genetics""","""BIOC*3560 AND MBG*2040 AND MICR*2420""","""{MBG*3080,MICR*3260}"""
"""MICR*3280""","""Microbial Cell Biology""","""BIOC*3560 AND MBG*2040 AND MICR*2420""","""{MBG*3080,MICR*4520}"""
"""MICR*3330""","""World of Viruses""","""MCB*2050""","""{}"""
"""MICR*3420""","""Microbial Diversity and Ecology""","""BIOC*3560 AND MBG*2040 AND MICR*2430""","""{}"""
"""MICR*3430""","""Advanced Methods in Microbiology""","""MICR*2430 AND (MBG*3080 OR MICR*3240)""","""{}"""
"""MICR*4010""","""Pathogenic Microbiology""","""MCB*2050 AND (MBG*3080 OR MICR*3240)""","""{}"""
"""MICR*4330""","""Molecular Virology""","""MICR*3330 AND MICR*2430 is recommended""","""{}"""
"""MICR*4430""","""Medical Virology""","""MICR*3330""","""{}"""
"""MICR*4530""","""Immunology II""","""MICR*3230""","""{}"""
"""MCB*2050""","""Molecular Biology of the Cell""","""BIOC*2580 AND MBG*2040""","""{}"""
"""MCB*3010""","""Dynamics of Cell Function and Signaling""","""MCB*2050""","""{}"""
"""MCB*4010""","""Advanced Cell Biology""","""MCB*3010""","""{}"""
"""MCB*4020""","""Communication in Molecular and Cellular Biology""","""14.00 credits""","""{}"""
"""MCB*4500""","""Research Project in Molecular and Cellular Biology I""","""MBG*3350 OR equivalent laboratory experience at the discretion of the student's faculty advisor. Normally AND students must have completed 6 semesters in an appropriate program in the biological sciences""","""{MCB*4500}"""
"""MCB*4510""","""Research Project in Molecular and Cellular Biology""","""MCB*4500. Normally AND students must have completed 6 semesters in an appropriate program in the biological sciences. Minimum 70% cumulative average in science courses during the first 6 semesters of the relevant majors.""","""{MCB*4510}"""
"""MCB*4600""","""Topics in Molecular and Cellular Biology""","""MBG*3350 OR equivalent laboratory experience at the discretion of the student's faculty advisor. Normally AND students must have a minimum of 3.00 credits in 3000 OR 4000 level BIOC AND MBG AND MCB OR MICR courses""","""{MCB*4600}"""
"""MBG*1000""","""Genetics and Society""","""()""","""{}"""
"""MBG*2040""","""Foundations in Molecular Biology and Genetics""","""4.00 credits AND BIOL*1090""","""{}"""
"""MBG*2400""","""Fundamentals of Plant and Animal Genetics""","""(BIOL*1050 OR BIOL*1070) AND BIOL*1090""","""{}"""
